Ex max (nm),Em max (nm),Stokes Shift (nm),Extinction Coefficient,Quantum Yield,Brightness
585.0,610.0,25.0,45000.0,0.25,11.25
443.0,483.0,40.0,23900.0,0.46,10.99
464.0,590.0,126.0,28700.0,0.382,10.96
438.0,612.0,174.0,32000.0,0.34,10.88
385.0,506.0,121.0,12700.0,0.84,10.67
559.0,580.0,21.0,31800.0,0.33,10.49
645.0,670.0,25.0,95000.0,0.108,10.26
663.0,682.0,19.0,91000.0,0.112,10.19
450.0,610.0,160.0,35000.0,0.29,10.15
663.0,682.0,19.0,90000.0,0.11,9.9
466.0,598.0,132.0,27300.0,0.36,9.83
458.0,486.0,28.0,40000.0,0.24,9.6
598.0,671.0,73.0,105000.0,0.087,9.13
674.0,703.0,29.0,92400.0,0.097,8.96
584.0,610.0,26.0,44000.0,0.2,8.8
609.0,657.0,48.0,80000.0,0.11,8.8
470.0,600.0,130.0,30000.0,0.29,8.7
598.0,670.0,72.0,95000.0,0.09,8.55
528.0,538.0,10.0,20200.0,0.42,8.48
644.0,670.0,26.0,71300.0,0.116,8.27
435.0,495.0,60.0,21200.0,0.39,8.27
476.0,500.0,24.0,59000.0,0.14,8.26
517.0,531.0,14.0,115000.0,0.07,8.05
504.0,514.0,10.0,14500.0,0.54,7.83
674.0,703.0,29.0,90900.0,0.086,7.82
674.0,703.0,29.0,90900.0,0.086,7.82
598.0,649.0,51.0,43000.0,0.18,7.74
597.0,633.0,36.0,45000.0,0.17,7.65
440.0,616.0,176.0,24600.0,0.31,7.63
673.0,702.0,29.0,93000.0,0.08,7.44
496.0,517.0,21.0,21700.0,0.34,7.38
673.0,702.0,29.0,88000.0,0.081,7.13
521.0,592.0,71.0,71000.0,0.1,7.1
432.0,480.0,48.0,10000.0,0.71,7.1
571.0,598.0,27.0,27100.0,0.26,7.05
596.0,656.0,60.0,44000.0,0.16,7.04
434.0,477.0,43.0,29000.0,0.24,6.96
690.0,713.0,23.0,99000.0,0.07,6.93
690.0,711.0,21.0,86000.0,0.08,6.88
566.0,598.0,32.0,31000.0,0.22,6.82
683.0,704.0,21.0,82000.0,0.08,6.56
684.0,708.0,24.0,92000.0,0.07,6.44
590.0,637.0,47.0,160000.0,0.04,6.4
450.0,495.0,45.0,12500.0,0.51,6.38
380.0,440.0,60.0,31500.0,0.2,6.3
690.0,713.0,23.0,105000.0,0.06,6.3
439.0,490.0,51.0,15000.0,0.41,6.15
439.0,491.0,52.0,14800.0,0.41,6.07
447.0,501.0,54.0,14100.0,0.43,6.06
592.0,645.0,53.0,75000.0,0.08,6.0
702.0,720.0,18.0,98000.0,0.061,5.98
598.0,625.0,27.0,59600.0,0.1,5.96
384.0,448.0,64.0,22000.0,0.27,5.94
458.0,488.0,30.0,19000.0,0.31,5.89
603.0,675.0,72.0,83000.0,0.07,5.81
702.0,720.0,18.0,96000.0,0.06,5.76
440.0,487.0,47.0,14500.0,0.39,5.66
447.0,497.0,50.0,15317.0,0.36,5.51
610.0,650.0,40.0,50000.0,0.11,5.5
381.0,445.0,64.0,14000.0,0.38,5.32
398.0,452.0,54.0,11000.0,0.48,5.28
450.0,499.0,49.0,16800.0,0.31,5.21
574.0,582.0,8.0,12100.0,0.43,5.2
